review_text,rating,date,bank_name,source,sentiment
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
good,4,2025-06-05,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
not functional,1,2025-06-05,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
best,5,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
bezabih,5,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Good,5,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
👌👍,5,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
very niec,5,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,NEUTRAL
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
best app,5,2025-06-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
better service,5,2025-05-31,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Nice!,5,2025-05-30,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
yes good,5,2025-05-28,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia Mobile,Google Play,NEGATIVE
Best,5,2025-05-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
nice,5,2025-05-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
good job,5,2025-05-26,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia Mobile,Google Play,POSITIVE
